wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5270.8992,71.96201,125.7692,3.55E+10,1.41E+10,2.43E+10,1.49E+10,4.32E+10,0.1962087,0.004469188,0.2566009,2.387708,2423.493,4235.621,1.747748,34.42994,4.268925
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.0516,73.19971,125.8368,3.39E+10,1.36E+10,2.21E+10,1.30E+10,4.03E+10,0.1993966,0.004763715,0.2442681,2.361744,2422.185,4164.004,1.71911,33.77274,4.439006
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.204,70.97812,125.71,3.49E+10,1.38E+10,2.49E+10,1.57E+10,4.32E+10,0.1892214,0.002949941,0.2659593,2.355285,2424.627,4294.501,1.771197,34.80487,4.481179
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.3564,70.52258,124.9143,3.57E+10,1.41E+10,2.54E+10,1.60E+10,4.43E+10,0.1763775,0.001044364,0.2660688,2.369708,2440.078,4322.026,1.771266,37.67855,4.442612
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.5088,69.88297,125.1632,3.66E+10,1.44E+10,2.70E+10,1.74E+10,4.61E+10,0.1678638,0.000708853,0.2735258,2.386051,2435.221,4361.595,1.791049,40.69114,4.445698
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.6612,69.54495,125.2712,3.57E+10,1.40E+10,2.67E+10,1.74E+10,4.54E+10,0.1687531,0.002552006,0.2772492,2.379091,2433.122,4382.781,1.8013,42.64479,4.603273
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.8136,73.72115,125.5984,3.46E+10,1.40E+10,2.20E+10,1.27E+10,4.07E+10,0.1822896,0.006078844,0.2370345,2.369073,2426.783,4135.197,1.703971,43.75583,4.767637
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5271.966,73.88506,126.5917,3.43E+10,1.38E+10,2.21E+10,1.29E+10,4.05E+10,0.2020225,0.01035441,0.2416755,2.356616,2407.749,4125.327,1.71336,43.7304,4.831011
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.1184,75.75977,128.5147,3.28E+10,1.33E+10,2.05E+10,1.17E+10,3.82E+10,0.228832,0.01064443,0.2337001,2.338147,2371.738,4023.367,1.696366,40.91415,4.797302
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.2708,76.74435,132.6168,2.97E+10,1.19E+10,1.97E+10,1.17E+10,3.55E+10,0.2498945,0.007712621,0.2482084,2.294538,2298.456,3971.654,1.728015,37.05556,4.748743
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.4232,78.74759,138.4118,2.75E+10,1.09E+10,1.92E+10,1.19E+10,3.37E+10,0.257502,0.003355132,0.2606595,2.249855,2202.304,3870.713,1.757631,32.63589,4.598921
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.5756,82.49805,142.0287,2.51E+10,1.01E+10,1.65E+10,9.74E+09,2.99E+10,0.2500469,0.000155408,0.2453989,2.212089,2146.108,3695.018,1.721684,29.56796,4.366352
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.728,83.58969,144.4388,2.37E+10,9.48E+09,1.57E+10,9.34E+09,2.83E+10,0.2349213,3.18E-06,0.2482097,2.2123,2110.262,3646.406,1.727946,27.92454,4.124637
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5272.8804,84.16943,145.5605,2.51E+10,1.01E+10,1.67E+10,9.96E+09,3.01E+10,0.2242934,1.80E-05,0.2488364,2.2379,2093.98,3621.275,1.729374,30.83095,4.073901
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.0328,84.59081,144.7181,2.51E+10,1.01E+10,1.61E+10,9.36E+09,2.96E+10,0.2213017,0.00063523,0.2404984,2.264516,2106.168,3603.232,1.710806,34.20526,4.149986
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.1852,84.76289,143.6316,2.56E+10,1.04E+10,1.60E+10,9.04E+09,2.98E+10,0.2245807,0.001527157,0.2328076,2.266965,2122.102,3595.914,1.694512,36.95055,4.292219
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.3376,84.72289,142.9572,2.49E+10,1.01E+10,1.53E+10,8.58E+09,2.88E+10,0.2283892,0.001356871,0.2293114,2.248109,2132.109,3597.611,1.68735,37.03342,4.468638
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.49,85.37426,144.1396,2.45E+10,9.98E+09,1.51E+10,8.49E+09,2.84E+10,0.2381207,0.002335227,0.2297944,2.244926,2114.624,3570.173,1.688326,37.57921,4.67713
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.6424,84.56966,145.4983,2.48E+10,9.95E+09,1.62E+10,9.55E+09,2.94E+10,0.2523839,0.009825722,0.2448664,2.249877,2094.878,3604.146,1.720471,37.9147,4.882833
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.7948,84.81712,148.0973,2.42E+10,9.62E+09,1.65E+10,1.01E+10,2.93E+10,0.2606682,0.01498405,0.2559349,2.260301,2058.136,3593.616,1.746074,39.1608,4.923853
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5273.9472,84.27813,148.4677,2.42E+10,9.58E+09,1.70E+10,1.06E+10,2.97E+10,0.2606443,0.01244504,0.2622829,2.259723,2052.971,3616.604,1.761645,39.52263,4.828709
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.0996,83.27663,148.1223,2.43E+10,9.56E+09,1.75E+10,1.11E+10,3.02E+10,0.2589936,0.00108752,0.2689105,2.257113,2057.76,3660.116,1.778688,39.91831,4.674625
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.252,83.15257,145.7916,2.46E+10,9.77E+09,1.70E+10,1.05E+10,3.00E+10,0.261449,0.007494481,0.2589086,2.256087,2090.681,3665.552,1.753302,38.82946,4.545026
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.4044,80.54031,145.084,2.57E+10,1.01E+10,1.92E+10,1.25E+10,3.26E+10,0.2599344,0.01300614,0.2772486,2.256645,2100.853,3784.632,1.801463,38.51059,4.447424
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.5568,80.30357,144.6326,2.54E+10,9.93E+09,1.90E+10,1.23E+10,3.22E+10,0.25555,0.01320606,0.2771697,2.247325,2107.41,3795.599,1.801073,37.34274,4.438743
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.7092,80.16057,144.3873,2.53E+10,9.89E+09,1.89E+10,1.23E+10,3.21E+10,0.2500195,0.009708905,0.2772247,2.242296,2110.99,3802.369,1.801226,36.35565,4.495606
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5274.8616,79.31533,143.1383,2.60E+10,1.02E+10,1.95E+10,1.28E+10,3.31E+10,0.2451581,0.009574411,0.2784525,2.252364,2129.417,3842.91,1.804676,36.66894,4.596973
