wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163,54.36923,94.62801,6.93E+10,2.77E+10,4.69E+10,2.85E+10,8.38E+10,0.0165497,0.001582444,0.2535862,2.716783,3221.045,5606.123,1.740478,37.8461,5.100243
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.1524,55.02106,94.70657,6.73E+10,2.70E+10,4.40E+10,2.60E+10,8.00E+10,0.01967284,0.000141208,0.2452561,2.646462,3218.362,5539.734,1.721289,50.38675,4.774868
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.3048,55.81832,94.45191,6.65E+10,2.70E+10,4.13E+10,2.33E+10,7.73E+10,0.02229741,8.03E-06,0.231641,2.607651,3227.04,5460.625,1.69215,56.41486,4.515691
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.4572,56.11058,94.74629,6.64E+10,2.70E+10,4.10E+10,2.30E+10,7.70E+10,0.02457082,5.79E-06,0.229912,2.60174,3217.014,5432.136,1.688564,53.86738,4.508516
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.6096,55.64519,94.97303,6.67E+10,2.69E+10,4.26E+10,2.46E+10,7.85E+10,0.03194964,2.85E-06,0.2386269,2.61332,3209.333,5477.583,1.706769,43.80403,4.571904
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.762,56.08792,94.44807,6.72E+10,2.74E+10,4.11E+10,2.29E+10,7.76E+10,0.03230586,2.70E-06,0.2275963,2.630057,3227.176,5434.343,1.683938,42.53991,4.469065
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.9144,57.27003,95.31208,6.62E+10,2.72E+10,3.91E+10,2.09E+10,7.53E+10,0.03856838,2.70E-06,0.2174709,2.636788,3197.929,5322.263,1.664276,45.60141,4.129393
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.0668,57.84781,96.35996,6.46E+10,2.65E+10,3.82E+10,2.05E+10,7.36E+10,0.05287851,2.70E-06,0.2182648,2.630854,3163.157,5269.02,1.665748,43.42506,3.796224
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.2192,59.33847,98.2346,6.09E+10,2.51E+10,3.53E+10,1.86E+10,6.88E+10,0.07284983,9.95E-06,0.2127563,2.602789,3102.831,5136.796,1.655509,31.33215,3.753191
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.3716,59.1185,102.2507,5.65E+10,2.26E+10,3.75E+10,2.24E+10,6.77E+10,0.09194566,3.97E-05,0.2487422,2.562167,2981.139,5155.752,1.729607,18.45216,4.009245
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.524,59.6682,102.4634,5.57E+10,2.24E+10,3.62E+10,2.13E+10,6.61E+10,0.09902028,1.18E-05,0.2434321,2.528548,2974.721,5108.271,1.717227,13.00182,4.395325
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.6764,60.2223,103.1953,5.44E+10,2.19E+10,3.51E+10,2.05E+10,6.44E+10,0.09871488,0.004408649,0.2417803,2.518944,2953.629,5061.268,1.713575,11.79218,4.651877
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.8288,60.01545,104.3483,5.40E+10,2.16E+10,3.64E+10,2.20E+10,6.52E+10,0.09758446,0.007687064,0.2528301,2.52834,2921.003,5078.696,1.738695,10.8563,4.742568
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.9812,60.26167,102.9191,5.53E+10,2.23E+10,3.53E+10,2.05E+10,6.51E+10,0.09846609,0.007352519,0.2391209,2.541496,2961.58,5057.946,1.707876,9.818755,4.749052
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.1336,58.14757,102.2261,5.73E+10,2.27E+10,4.00E+10,2.48E+10,7.03E+10,0.1002353,0.004646838,0.2608071,2.552116,2981.632,5242.164,1.758137,8.595932,4.80763
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.286,56.97813,102.17,5.80E+10,2.28E+10,4.28E+10,2.77E+10,7.32E+10,0.1006453,0.001915123,0.2742887,2.548617,2983.262,5349.51,1.793174,8.274582,4.898015
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.4384,57.6459,101.8046,5.75E+10,2.27E+10,4.06E+10,2.55E+10,7.10E+10,0.09805669,0.000831452,0.2640111,2.550196,2993.972,5287.496,1.766052,8.20648,4.945808
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.5908,57.57179,100.6877,5.90E+10,2.35E+10,4.05E+10,2.48E+10,7.18E+10,0.09387156,0.00045048,0.2571179,2.557362,3027.199,5294.261,1.748906,8.562066,4.915793
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.7432,56.93355,101.5696,5.90E+10,2.32E+10,4.29E+10,2.74E+10,7.38E+10,0.08986709,0.000281075,0.2708955,2.573934,3000.911,5353.642,1.784022,8.286397,4.815076
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5165.8956,56.61445,100.9787,6.01E+10,2.36E+10,4.37E+10,2.79E+10,7.52E+10,0.08806592,0.000470723,0.270779,2.594682,3018.463,5383.792,1.783621,8.577442,4.664587
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.048,57.06873,98.75695,6.26E+10,2.50E+10,4.16E+10,2.49E+10,7.50E+10,0.09355156,0.002407149,0.2492511,2.603834,3086.438,5340.946,1.730513,9.125842,4.453652
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.2004,56.07833,98.44031,6.33E+10,2.51E+10,4.39E+10,2.72E+10,7.74E+10,0.09710439,0.003611449,0.2597713,2.599678,3096.293,5435.339,1.755432,10.3042,4.225056
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.3528,55.88676,96.25591,6.40E+10,2.57E+10,4.19E+10,2.48E+10,7.62E+10,0.09550498,0.004239212,0.2456968,2.595272,3166.636,5453.887,1.722334,10.6928,4.009233
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.5052,54.47113,95.16586,6.66E+10,2.65E+10,4.56E+10,2.79E+10,8.09E+10,0.08803448,0.004196117,0.2563661,2.606212,3202.845,5595.801,1.747121,11.14968,3.805921
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.6576,54.54184,94.48296,6.93E+10,2.77E+10,4.62E+10,2.77E+10,8.32E+10,0.0762535,0.002978901,0.2501017,2.631669,3225.986,5588.372,1.732305,12.17385,3.631523
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.81,53.72344,94.67635,7.03E+10,2.78E+10,4.93E+10,3.08E+10,8.64E+10,0.06620691,0.000859647,0.2625279,2.647882,3219.39,5673.568,1.762316,13.04745,3.592012
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5166.9624,54.25589,94.73367,6.95E+10,2.77E+10,4.74E+10,2.90E+10,8.43E+10,0.06330512,0.000125494,0.2559378,2.649702,3217.441,5617.856,1.746063,13.79718,3.777994
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.1148,54.63082,94.32173,6.90E+10,2.77E+10,4.56E+10,2.71E+10,8.25E+10,0.06290759,0.000476224,0.2475818,2.642458,3231.496,5579.28,1.726536,13.05779,4.107368
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.2672,54.52538,93.75908,6.92E+10,2.78E+10,4.51E+10,2.66E+10,8.22E+10,0.06132606,0.002670845,0.2444857,2.634945,3250.89,5590.058,1.719549,13.29458,4.421717
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.4196,54.47875,93.3327,6.95E+10,2.80E+10,4.48E+10,2.62E+10,8.21E+10,0.05649147,0.008722343,0.2416055,2.637368,3265.74,5594.843,1.713194,16.48601,4.547166
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.572,54.79345,93.52516,7.06E+10,2.85E+10,4.50E+10,2.60E+10,8.30E+10,0.04688561,0.01281016,0.2386843,2.6569,3259.017,5562.718,1.706869,25.05551,4.41977
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.7244,54.30621,92.44623,7.27E+10,2.94E+10,4.60E+10,2.64E+10,8.51E+10,0.03665746,0.009747839,0.2365457,2.679753,3297.074,5612.641,1.702312,36.78711,4.122922
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5167.8768,52.20483,91.07999,7.52E+10,2.99E+10,5.12E+10,3.13E+10,9.11E+10,0.02781483,0.004266371,0.2553439,2.680741,3346.542,5838.969,1.744748,49.48161,3.811104
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.0292,52.43034,92.0033,7.41E+10,2.94E+10,5.14E+10,3.17E+10,9.06E+10,0.02317934,0.000202042,0.259523,2.658828,3312.944,5813.44,1.75477,60.58041,3.609482
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.1816,52.85498,91.97668,7.19E+10,2.87E+10,4.86E+10,2.95E+10,8.68E+10,0.02668683,7.24E-06,0.253471,2.623588,3313.884,5766.74,1.740177,65.29642,3.609146
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.334,52.7668,91.5108,7.28E+10,2.91E+10,4.87E+10,2.93E+10,8.75E+10,0.03583817,0.000769586,0.250948,2.609795,3330.759,5776.361,1.734249,55.18876,3.802073
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.4864,53.31709,92.84562,7.12E+10,2.84E+10,4.82E+10,2.93E+10,8.61E+10,0.04298892,0.00660884,0.2539852,2.609474,3282.904,5716.773,1.741382,35.7696,4.145647
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.6388,53.4566,92.55482,7.11E+10,2.85E+10,4.74E+10,2.84E+10,8.53E+10,0.048462,0.009410365,0.2497157,2.622214,3293.186,5701.823,1.731402,17.54724,4.432642
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.7912,53.08134,92.8592,7.11E+10,2.83E+10,4.89E+10,3.00E+10,8.66E+10,0.05194661,0.007039893,0.2573114,2.632163,3282.391,5742.146,1.749382,10.32128,4.571924
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5168.9436,53.47931,92.1358,7.21E+10,2.89E+10,4.73E+10,2.80E+10,8.58E+10,0.05200777,0.004359789,0.2459354,2.6401,3308.171,5699.417,1.722841,9.443954,4.576834
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.096,53.44741,92.26848,7.19E+10,2.88E+10,4.75E+10,2.83E+10,8.59E+10,0.04869537,0.006778956,0.2475066,2.646697,3303.404,5702.803,1.726342,10.01425,4.537828
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.2484,53.35686,91.38386,7.37E+10,2.97E+10,4.75E+10,2.77E+10,8.71E+10,0.04973159,0.009430132,0.24137,2.658366,3335.396,5712.48,1.712691,11.01686,4.480493
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.4008,53.32924,91.23685,7.36E+10,2.97E+10,4.73E+10,2.75E+10,8.69E+10,0.05331235,0.01077892,0.2405177,2.655082,3340.756,5715.44,1.710823,11.19785,4.433793
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.5532,53.14244,90.87337,7.51E+10,3.03E+10,4.82E+10,2.80E+10,8.86E+10,0.05733594,0.01010157,0.2401365,2.645329,3354.12,5735.533,1.709996,11.46927,4.415132
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.7056,53.21444,91.10398,7.21E+10,2.91E+10,4.64E+10,2.71E+10,8.52E+10,0.05983601,0.007344786,0.2410666,2.625426,3345.629,5727.77,1.712016,10.69226,4.437267
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5169.858,53.92287,90.97977,7.29E+10,2.96E+10,4.48E+10,2.51E+10,8.44E+10,0.05952934,0.004785935,0.2292341,2.630021,3350.196,5652.567,1.687237,11.61809,4.442443
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.0104,52.50606,91.35724,7.39E+10,2.95E+10,4.99E+10,3.03E+10,8.92E+10,0.0550334,0.002946558,0.2533141,2.638679,3336.356,5805.256,1.74001,12.90293,4.445992
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.1628,52.46225,93.07801,7.12E+10,2.81E+10,5.10E+10,3.22E+10,8.84E+10,0.04939396,0.001419598,0.2671713,2.642198,3274.727,5809.892,1.774189,15.50731,4.472188
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.3152,52.99432,93.16342,7.12E+10,2.82E+10,4.96E+10,3.08E+10,8.73E+10,0.0431731,0.000352478,0.2608207,2.640264,3271.67,5751.588,1.757998,19.83995,4.516283
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.4676,54.86741,93.58506,7.04E+10,2.84E+10,4.48E+10,2.59E+10,8.28E+10,0.03409559,0.000518349,0.2380757,2.655364,3256.933,5555.524,1.705742,28.67417,4.420245
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.62,55.62342,94.07417,6.98E+10,2.83E+10,4.33E+10,2.44E+10,8.11E+10,0.03040802,0.001936119,0.2312375,2.668072,3240.001,5479.747,1.691276,39.38806,4.214691
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.7724,56.43307,94.76916,6.80E+10,2.77E+10,4.12E+10,2.27E+10,7.82E+10,0.04013107,0.001357421,0.2252908,2.654005,3216.244,5401.141,1.679327,51.49504,4.011519
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5170.9248,58.02969,94.64521,6.45E+10,2.69E+10,3.57E+10,1.78E+10,7.16E+10,0.0560873,0.00043056,0.1987452,2.609241,3220.449,5252.68,1.631044,58.44758,3.996359
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.0772,58.33588,97.43214,6.09E+10,2.49E+10,3.63E+10,1.97E+10,6.96E+10,0.07121302,4.73E-05,0.22052,2.570162,3128.463,5224.919,1.670184,57.64959,4.183351
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.2296,57.10794,98.6404,6.07E+10,2.43E+10,4.01E+10,2.39E+10,7.26E+10,0.07939358,4.05E-06,0.247834,2.558303,3090.031,5337.383,1.727322,45.9671,4.458761
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.382,56.89482,99.00067,6.12E+10,2.44E+10,4.14E+10,2.51E+10,7.39E+10,0.07600176,5.61E-06,0.2534279,2.569365,3078.768,5357.255,1.740066,31.12959,4.688509
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.5344,55.93639,99.21106,6.20E+10,2.45E+10,4.44E+10,2.81E+10,7.70E+10,0.07487442,6.48E-06,0.2669679,2.584564,3072.239,5449.123,1.773668,19.26796,4.812914
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.6868,55.66726,98.92139,6.26E+10,2.47E+10,4.50E+10,2.86E+10,7.79E+10,0.07112601,5.06E-06,0.2682796,2.595555,3081.236,5475.396,1.777013,14.49711,4.871599
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.8392,55.35984,98.06476,6.36E+10,2.51E+10,4.53E+10,2.86E+10,7.89E+10,0.06494741,0.000114373,0.266122,2.598291,3108.161,5505.804,1.771405,13.38084,4.951166
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5171.9916,55.14862,97.80013,6.39E+10,2.52E+10,4.57E+10,2.89E+10,7.93E+10,0.06288336,0.000566081,0.266891,2.601143,3116.561,5526.887,1.773392,14.11704,5.015841
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.144,55.36459,97.08077,6.58E+10,2.61E+10,4.55E+10,2.81E+10,8.03E+10,0.06232126,0.001844599,0.2589912,2.615409,3139.662,5505.328,1.753485,14.44629,4.975873
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.2964,55.32934,95.53709,6.70E+10,2.68E+10,4.42E+10,2.63E+10,8.00E+10,0.0660231,0.002594203,0.2476431,2.628997,3190.424,5508.831,1.726697,14.22261,4.897552
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.4488,55.21435,94.96144,6.72E+10,2.70E+10,4.38E+10,2.59E+10,7.98E+10,0.07068676,0.00182557,0.2446293,2.632872,3209.729,5520.305,1.719868,15.77715,4.847722
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.6012,54.87056,93.98069,6.86E+10,2.76E+10,4.42E+10,2.58E+10,8.11E+10,0.07321817,0.000353003,0.2414103,2.627982,3243.236,5554.903,1.712769,23.73456,4.739684
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.7536,54.97417,94.14186,6.80E+10,2.74E+10,4.38E+10,2.55E+10,8.03E+10,0.07114729,0.000897369,0.2412769,2.629738,3237.668,5544.422,1.712474,38.87841,4.462847
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5172.906,56.10836,94.09986,6.88E+10,2.81E+10,4.16E+10,2.28E+10,7.90E+10,0.07799077,0.00622865,0.2241395,2.630568,3239.112,5432.455,1.677144,49.54827,4.120854
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.0584,56.86533,95.19003,6.60E+10,2.70E+10,3.96E+10,2.16E+10,7.56E+10,0.08523019,0.01299484,0.2225505,2.623041,3202.037,5360.073,1.673957,45.35453,4.020031
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.2108,57.4547,96.06525,6.54E+10,2.68E+10,3.92E+10,2.13E+10,7.49E+10,0.09881093,0.01761083,0.2215485,2.606365,3172.854,5305.074,1.672018,31.29123,4.189024
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.3632,57.72763,96.97774,6.24E+10,2.55E+10,3.79E+10,2.09E+10,7.19E+10,0.1126177,0.01774925,0.225592,2.572154,3143.002,5279.972,1.679917,19.17688,4.52915
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.5156,56.04173,98.13314,6.04E+10,2.40E+10,4.16E+10,2.56E+10,7.36E+10,0.1067436,0.01230727,0.2578994,2.551291,3106.005,5439.05,1.751181,15.72996,4.749567
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.668,55.41474,98.00282,6.22E+10,2.46E+10,4.42E+10,2.77E+10,7.70E+10,0.09354705,0.005536656,0.2650025,2.553198,3110.115,5500.369,1.768541,14.70856,4.854174
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.8204,54.31647,97.05227,6.59E+10,2.59E+10,4.82E+10,3.09E+10,8.27E+10,0.07278654,0.002285723,0.2719617,2.600877,3140.59,5611.665,1.78681,15.55234,4.752406
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5173.9728,52.7822,95.14851,7.03E+10,2.75E+10,5.27E+10,3.44E+10,8.94E+10,0.05464219,0.000812709,0.2777397,2.647851,3203.473,5774.895,1.802684,19.25652,4.579991
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.1252,51.65808,92.85634,7.43E+10,2.91E+10,5.52E+10,3.58E+10,9.40E+10,0.043603,4.56E-05,0.2758895,2.678572,3282.578,5900.453,1.797512,25.31781,4.261298
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.2776,51.99126,91.00892,7.58E+10,3.01E+10,5.21E+10,3.21E+10,9.23E+10,0.03752271,3.10E-06,0.2577161,2.685619,3349.181,5862.54,1.750483,34.49979,3.807535
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.43,52.58096,90.15365,7.68E+10,3.09E+10,4.97E+10,2.90E+10,9.09E+10,0.03462903,0.003653019,0.242207,2.676097,3380.907,5796.808,1.714586,43.76945,3.328134
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.5824,53.69315,90.9912,7.35E+10,2.98E+10,4.59E+10,2.60E+10,8.57E+10,0.04164674,0.005788955,0.2328807,2.645503,3349.79,5676.822,1.694671,49.44885,3.143237
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.7348,54.65491,93.60749,6.93E+10,2.79E+10,4.47E+10,2.61E+10,8.19E+10,0.05486988,0.006205666,0.2413605,2.616094,3256.278,5576.889,1.712684,45.71277,3.469553
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5174.8872,56.19217,94.62611,6.72E+10,2.74E+10,4.11E+10,2.29E+10,7.76E+10,0.06838661,0.005373248,0.2276214,2.595691,3221.114,5424.441,1.684013,36.9073,4.170673
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.0396,55.84847,97.78848,6.32E+10,2.51E+10,4.35E+10,2.68E+10,7.71E+10,0.07429931,0.004231595,0.2578326,2.595555,3117.095,5457.64,1.750986,29.21058,4.842441
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.192,55.87486,99.4726,6.22E+10,2.45E+10,4.49E+10,2.86E+10,7.76E+10,0.06875814,0.002674589,0.2695004,2.612986,3064.198,5455.047,1.780274,26.38523,5.229054
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.3444,55.03831,99.89863,6.36E+10,2.48E+10,4.86E+10,3.21E+10,8.17E+10,0.06022278,0.003774299,0.2820698,2.63971,3051.095,5538.023,1.8151,25.80239,5.369565
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.4968,54.5872,99.4305,6.45E+10,2.51E+10,4.98E+10,3.31E+10,8.33E+10,0.05345448,0.004931523,0.2842836,2.658033,3065.461,5583.742,1.8215,25.46684,5.356757
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.6492,53.86482,98.26112,6.53E+10,2.54E+10,5.07E+10,3.38E+10,8.46E+10,0.05090204,0.005557493,0.2852024,2.663373,3101.959,5658.656,1.824219,26.21773,5.23242
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.8016,53.50523,97.86465,6.63E+10,2.58E+10,5.18E+10,3.47E+10,8.62E+10,0.05280441,0.007481141,0.2868246,2.666902,3114.507,5696.65,1.829069,26.67144,4.943426
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5175.954,53.19176,97.87223,6.78E+10,2.63E+10,5.39E+10,3.64E+10,8.89E+10,0.06380907,0.007593581,0.290404,2.681228,3114.264,5730.22,1.839992,28.15751,4.574147
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.1064,54.17854,97.80733,6.72E+10,2.63E+10,5.06E+10,3.31E+10,8.57E+10,0.08073568,0.006308025,0.2786495,2.686083,3116.331,5625.943,1.805311,30.29401,4.153727
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.2588,55.88615,97.01502,6.53E+10,2.61E+10,4.39E+10,2.65E+10,7.87E+10,0.09657966,0.00547803,0.2515883,2.658268,3141.792,5454.194,1.736041,34.99389,3.757534
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.4112,56.37698,96.70427,6.53E+10,2.63E+10,4.23E+10,2.48E+10,7.73E+10,0.1040492,0.006749482,0.2425664,2.609818,3151.878,5406.477,1.715321,38.02436,3.409894
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.5636,57.08224,97.52561,6.01E+10,2.42E+10,3.84E+10,2.23E+10,7.07E+10,0.09567992,0.01148493,0.2394491,2.559013,3125.344,5339.703,1.708514,41.4487,3.140877
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.716,57.5907,95.1979,6.26E+10,2.58E+10,3.61E+10,1.89E+10,7.06E+10,0.07165211,0.0148934,0.2112788,2.5449,3201.847,5292.539,1.653031,41.53268,3.005436
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5176.8684,55.67932,94.8689,6.65E+10,2.69E+10,4.22E+10,2.43E+10,7.81E+10,0.04887106,0.01502282,0.2372049,2.563531,3212.856,5474.517,1.703935,42.00857,3.030305
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.0208,54.89739,94.77361,6.69E+10,2.68E+10,4.42E+10,2.63E+10,7.99E+10,0.0373328,0.01447339,0.2475157,2.591222,3216.085,5552.218,1.726389,35.99514,3.321768
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.1732,53.54213,94.09383,6.99E+10,2.77E+10,4.87E+10,3.02E+10,8.56E+10,0.03547087,0.01436847,0.2605691,2.625285,3239.328,5692.876,1.757415,26.8111,3.760393
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.3256,53.872,93.86484,7.14E+10,2.85E+10,4.85E+10,2.95E+10,8.64E+10,0.02998842,0.01405216,0.2543962,2.654022,3247.223,5657.871,1.742374,17.04086,4.135091
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.478,52.93727,90.98753,7.54E+10,3.03E+10,4.91E+10,2.89E+10,8.95E+10,0.03412772,0.01159757,0.2441152,2.689029,3350.073,5757.851,1.718759,11.57292,4.261836
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.6304,52.91249,89.63487,7.68E+10,3.12E+10,4.79E+10,2.71E+10,8.94E+10,0.03745718,0.008896043,0.2325586,2.699772,3400.494,5760.455,1.694021,10.02932,4.200669
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.7828,52.66817,89.73714,7.70E+10,3.11E+10,4.89E+10,2.81E+10,9.04E+10,0.03901524,0.005713238,0.2372547,2.700951,3396.587,5787.183,1.703824,9.710337,4.065403
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5177.9352,52.243,89.71991,7.78E+10,3.13E+10,5.06E+10,2.97E+10,9.23E+10,0.03839584,0.002716854,0.2434966,2.706978,3397.24,5834.293,1.717363,10.54307,3.936782
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.0876,51.93285,87.32673,8.16E+10,3.33E+10,4.97E+10,2.75E+10,9.41E+10,0.0352365,0.001657316,0.2263561,2.711053,3490.466,5869.126,1.681522,11.0037,3.843464
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.24,51.59142,86.42262,8.26E+10,3.38E+10,4.98E+10,2.72E+10,9.48E+10,0.02963554,0.005101731,0.2231556,2.709833,3526.869,5907.971,1.675134,11.48466,3.836617
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.3924,50.55413,86.57378,8.36E+10,3.37E+10,5.38E+10,3.14E+10,9.87E+10,0.02556939,0.0076528,0.2412551,2.709515,3520.697,6029.297,1.712533,13.08992,3.805799
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.5448,50.33268,85.45499,8.60E+10,3.48E+10,5.39E+10,3.07E+10,1.00E+11,0.02321917,0.008753956,0.2343903,2.723391,3566.82,6055.711,1.697801,15.80438,3.681291
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.6972,49.94574,83.68872,8.95E+10,3.66E+10,5.39E+10,2.95E+10,1.03E+11,0.02369652,0.008758521,0.2233696,2.744393,3642.144,6102.64,1.675585,20.01887,3.457422
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5178.8496,49.75754,85.26144,8.76E+10,3.53E+10,5.66E+10,3.30E+10,1.04E+11,0.02938052,0.008704903,0.2417123,2.742495,3574.956,6125.708,1.713545,22.745,3.334232
