wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485,50.62363,92.30312,8.18E+10,3.18E+10,6.34E+10,4.22E+10,1.06E+11,0.006057338,0.005407693,0.2848348,2.918643,3302.223,6020.96,1.823362,12.73673,5.857199
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.1524,50.56853,92.6811,8.11E+10,3.15E+10,6.38E+10,4.28E+10,1.06E+11,0.006500835,0.004157335,0.2880529,2.912346,3288.699,6027.465,1.832782,13.17426,5.84086
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.3048,50.68175,92.63974,8.11E+10,3.15E+10,6.33E+10,4.23E+10,1.05E+11,0.006647792,0.004634241,0.286424,2.913404,3290.166,6014.005,1.827875,12.4385,5.770578
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.4572,50.82334,92.10623,8.18E+10,3.19E+10,6.23E+10,4.10E+10,1.05E+11,0.008363897,0.006991425,0.2811023,2.916547,3309.246,5997.252,1.81229,12.79088,5.728018
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.6096,50.90976,90.91773,8.35E+10,3.28E+10,6.09E+10,3.90E+10,1.05E+11,0.00977195,0.00604544,0.2715579,2.921875,3352.587,5987.066,1.785867,12.59985,5.684299
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.762,50.92446,91.89305,8.23E+10,3.22E+10,6.19E+10,4.04E+10,1.05E+11,0.008243752,0.009463999,0.2783259,2.925306,3317.036,5985.336,1.804497,13.17725,5.683527
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5485.9144,51.06821,92.70433,8.11E+10,3.16E+10,6.20E+10,4.10E+10,1.04E+11,0.003930762,0.0124793,0.2821622,2.924554,3287.897,5968.499,1.815301,13.03607,5.726338
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.0668,51.26659,91.42139,8.25E+10,3.25E+10,6.00E+10,3.83E+10,1.03E+11,0.00131252,0.010921,0.2705264,2.921537,3334.19,5945.406,1.783279,12.54553,5.771926
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.2192,51.93552,89.52097,8.43E+10,3.38E+10,5.54E+10,3.28E+10,1.00E+11,0.002057049,0.005815104,0.2460176,2.917087,3405.035,5869.019,1.723841,12.56241,5.826533
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.3716,52.11802,90.51414,8.29E+10,3.31E+10,5.57E+10,3.36E+10,9.98E+10,0.00331958,0.003340053,0.2519128,2.9179,3367.61,5848.266,1.736711,12.8592,5.840146
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.524,52.10818,91.09441,8.22E+10,3.27E+10,5.64E+10,3.45E+10,1.00E+11,0.001420819,0.004217483,0.2568202,2.921613,3345.986,5849.371,1.748179,13.63916,5.840183
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.6764,52.21296,91.92667,8.09E+10,3.21E+10,5.66E+10,3.52E+10,9.94E+10,0.000733434,0.007688566,0.261857,2.91544,3315.743,5837.637,1.760605,13.21135,5.847517
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.8288,52.35739,93.32463,7.85E+10,3.09E+10,5.70E+10,3.64E+10,9.82E+10,0.000948512,0.01138403,0.2702925,2.896749,3266.15,5821.535,1.782444,12.9413,5.776559
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5486.9812,52.56226,98.08053,7.18E+10,2.77E+10,5.93E+10,4.08E+10,9.62E+10,0.001058237,0.01281232,0.2979412,2.859368,3109.198,5798.853,1.865926,13.71113,5.638083
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.1336,52.15505,100.5082,6.78E+10,2.58E+10,6.13E+10,4.41E+10,9.57E+10,0.001035559,0.00972595,0.3156397,2.801875,3032.723,5844.212,1.927189,16.93547,5.505579
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.286,52.73647,101.4686,6.51E+10,2.47E+10,5.86E+10,4.21E+10,9.16E+10,0.005642886,0.005016963,0.3149531,2.741693,3003.913,5779.908,1.924108,22.6302,5.489742
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.4384,55.55273,103.8409,6.02E+10,2.32E+10,5.02E+10,3.47E+10,8.11E+10,0.008910255,0.002631663,0.2994765,2.687756,2935.575,5489.671,1.869793,26.98273,5.839902
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.5908,61.08606,110.0156,5.18E+10,2.03E+10,3.90E+10,2.54E+10,6.60E+10,0.009186205,0.002772281,0.2770989,2.636683,2772.297,4998.106,1.802172,29.26312,6.595885
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.7432,71.67914,112.3501,4.39E+10,1.91E+10,2.21E+10,9.41E+09,4.75E+10,0.006691855,0.003667495,0.1503586,2.59028,2713.001,4271.615,1.574039,29.94909,7.518795
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5487.8956,76.43852,112.6217,4.07E+10,1.90E+10,1.59E+10,3.28E+09,4.13E+10,0.001946151,0.00225591,0.0720827,2.594719,2706.409,3988.589,1.473755,34.3081,8.213099
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.048,76.72632,114.6387,4.08E+10,1.86E+10,1.68E+10,4.33E+09,4.16E+10,0.001707396,0.003145176,0.09375527,2.63758,2658.98,3972.633,1.49418,41.3972,8.365416
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.2004,72.20918,116.048,4.37E+10,1.85E+10,2.32E+10,1.09E+10,4.79E+10,0.003307529,0.003544924,0.1816815,2.680039,2626.54,4224.618,1.608638,47.58229,8.157162
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.3528,67.69227,116.2756,4.55E+10,1.83E+10,2.97E+10,1.75E+10,5.41E+10,0.01041921,0.004047127,0.2428883,2.663394,2621.357,4505.385,1.718724,45.49125,7.664128
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.5052,66.58932,116.1074,4.48E+10,1.79E+10,3.05E+10,1.86E+10,5.43E+10,0.02942492,0.004313912,0.2549317,2.592153,2625.156,4577.331,1.74364,36.96837,6.998789
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.6576,67.05627,116.3882,4.31E+10,1.72E+10,2.89E+10,1.74E+10,5.18E+10,0.06749962,0.00130089,0.2515584,2.508921,2618.828,4545.503,1.735696,25.75015,6.284525
3-BRSA-944A-RJS,LQC_ParamElast,Barra Velha,5488.81,66.57541,115.3693,4.26E+10,1.70E+10,2.84E+10,1.71E+10,5.11E+10,0.1027875,0.001486068,0.2503718,2.439587,2642.004,4578.353,1.732911,18.04227,5.704009
