wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5177.736,67.23842,121.369,3.93E+10,1.54E+10,2.96E+10,1.94E+10,5.01E+10,0.1684248,1.28E-05,0.2785515,2.439109,2511.358,4533.265,1.805113,21.28132,5.204797,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5177.8884,67.76288,121.4855,3.90E+10,1.53E+10,2.88E+10,1.86E+10,4.92E+10,0.1735113,7.30E-06,0.2741782,2.42944,2508.959,4498.136,1.792821,21.25653,5.080587,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.0408,68.02773,121.8921,3.87E+10,1.52E+10,2.85E+10,1.84E+10,4.88E+10,0.1713498,2.74E-06,0.2738049,2.431673,2500.576,4480.532,1.791805,21.13439,4.969722,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.1932,67.87952,122.0968,3.89E+10,1.52E+10,2.90E+10,1.88E+10,4.93E+10,0.1607945,2.87E-06,0.2763171,2.443363,2496.381,4490.343,1.798745,21.01225,4.869493,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.3456,67.56467,122.048,3.94E+10,1.54E+10,2.97E+10,1.95E+10,5.03E+10,0.1425823,3.63E-06,0.2790572,2.469249,2497.393,4511.301,1.806399,20.89012,4.775639,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.498,67.1397,121.4273,4.05E+10,1.58E+10,3.06E+10,2.01E+10,5.17E+10,0.1288872,0.00146224,0.2798167,2.509104,2510.243,4539.904,1.80857,20.56964,4.685662,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.6504,66.68934,120.1842,4.19E+10,1.64E+10,3.14E+10,2.05E+10,5.33E+10,0.126814,0.003781524,0.277507,2.549391,2536.278,4570.495,1.802122,20.24915,4.598747,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.8028,66.33886,118.687,4.31E+10,1.69E+10,3.16E+10,2.03E+10,5.42E+10,0.1338279,0.006237567,0.2727722,2.568309,2568.298,4594.674,1.789068,19.92867,4.522747,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5178.9552,65.88031,116.9823,4.39E+10,1.73E+10,3.15E+10,2.00E+10,5.46E+10,0.1440099,0.008979941,0.2676885,2.55126,2605.887,4626.736,1.775618,19.74594,4.45381,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.1076,65.33015,115.0818,4.46E+10,1.77E+10,3.13E+10,1.95E+10,5.48E+10,0.1461374,0.01523987,0.262204,2.51815,2648.757,4665.649,1.761511,19.5632,4.399951,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.26,64.82462,113.6205,4.52E+10,1.80E+10,3.12E+10,1.93E+10,5.52E+10,0.1364267,0.01398031,0.2586797,2.496474,2682.774,4702.083,1.752722,19.38047,4.358712,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.4124,64.38696,112.463,4.61E+10,1.84E+10,3.15E+10,1.93E+10,5.60E+10,0.1246976,0.01318972,0.2561705,2.499449,2710.311,4733.896,1.746661,18.97791,4.328658,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.5648,64.25259,112.0722,4.66E+10,1.86E+10,3.17E+10,1.94E+10,5.65E+10,0.1175727,0.01078152,0.2551657,2.510792,2719.703,4743.778,1.744247,18.57535,4.30868,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.7172,64.21432,112.7293,4.63E+10,1.84E+10,3.21E+10,1.99E+10,5.66E+10,0.1171009,0.0051979,0.2597617,2.511104,2703.917,4746.605,1.75552,18.17278,4.2932,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5179.8696,64.21563,113.673,4.55E+10,1.80E+10,3.24E+10,2.04E+10,5.64E+10,0.1118649,0.001822368,0.2656133,2.502273,2681.438,4746.511,1.770173,18.26898,4.275267,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.022,64.30692,114.2981,4.52E+10,1.78E+10,3.25E+10,2.06E+10,5.62E+10,0.1050415,0.002570175,0.26842,2.50378,2666.719,4739.782,1.777385,18.36518,4.255097,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.1744,64.53252,114.4645,4.53E+10,1.79E+10,3.24E+10,2.05E+10,5.63E+10,0.106613,0.004773566,0.2670093,2.522226,2662.834,4723.281,1.773781,18.46137,4.232862,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.3268,64.98043,114.5637,4.54E+10,1.80E+10,3.19E+10,1.99E+10,5.59E+10,0.1206642,0.004421034,0.262816,2.541823,2660.559,4690.838,1.763102,18.58057,4.215502,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.4792,65.54307,115.1561,4.48E+10,1.78E+10,3.12E+10,1.93E+10,5.49E+10,0.1464137,0.000120368,0.2603938,2.538498,2646.94,4650.467,1.756943,18.69978,4.199965,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.6316,66.00522,116.1252,4.36E+10,1.73E+10,3.05E+10,1.89E+10,5.35E+10,0.1712422,2.13E-05,0.2613584,2.509528,2624.827,4617.941,1.759337,18.81898,4.180536,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.784,66.55683,117.2171,4.21E+10,1.67E+10,2.95E+10,1.83E+10,5.17E+10,0.184317,6.64E-06,0.2620676,2.463311,2600.508,4579.723,1.761132,19.37923,4.158877,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5180.9364,67.25563,118.7995,4.03E+10,1.60E+10,2.85E+10,1.79E+10,4.98E+10,0.186675,2.74E-06,0.2641619,2.423634,2565.868,4532.288,1.766382,19.93947,4.140312,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.0888,68.19992,120.3978,3.90E+10,1.54E+10,2.75E+10,1.72E+10,4.81E+10,0.184173,0.001176949,0.2637555,2.408268,2531.811,4469.747,1.765415,20.49972,4.134507,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.2412,69.32388,121.8567,3.81E+10,1.51E+10,2.66E+10,1.65E+10,4.67E+10,0.181709,0.004889562,0.2607235,2.415557,2501.392,4397.362,1.757913,20.47533,4.145145,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.3936,70.16212,122.943,3.76E+10,1.49E+10,2.59E+10,1.60E+10,4.58E+10,0.1773452,0.01266926,0.2584786,2.42777,2479.271,4344.239,1.752259,20.45095,4.163596,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.546,70.26399,123.9005,3.71E+10,1.47E+10,2.61E+10,1.63E+10,4.57E+10,0.1734323,0.01712615,0.2629225,2.42596,2460.089,4337.935,1.763367,20.42656,4.185022,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.6984,70.11703,124.6878,3.67E+10,1.45E+10,2.64E+10,1.68E+10,4.57E+10,0.1654995,0.01761672,0.2687032,2.418494,2444.542,4347.055,1.778315,20.55604,4.200508,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5181.8508,69.72577,124.8626,3.66E+10,1.44E+10,2.70E+10,1.74E+10,4.61E+10,0.1527743,0.01518811,0.2734321,2.414064,2441.169,4371.591,1.790774,20.68552,4.21291,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.0032,68.95345,123.6172,3.76E+10,1.47E+10,2.77E+10,1.79E+10,4.74E+10,0.1355625,0.01135247,0.2741629,2.425036,2466.015,4420.964,1.79276,20.815,4.226973,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.1556,67.65056,121.5578,3.93E+10,1.54E+10,2.92E+10,1.90E+10,4.98E+10,0.1152087,0.007799695,0.2756395,2.451702,2507.695,4506.666,1.797037,20.67544,4.237749,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.308,65.9409,119.4049,4.16E+10,1.62E+10,3.16E+10,2.08E+10,5.32E+10,0.0944368,0.002952349,0.2804981,2.489804,2553.379,4624.521,1.811091,20.53588,4.237795,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.4604,64.18445,116.2363,4.46E+10,1.74E+10,3.39E+10,2.23E+10,5.71E+10,0.07640111,0.000772208,0.2803614,2.532103,2623.541,4749.361,1.810771,20.39633,4.224888,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.6128,63.18303,112.9774,4.77E+10,1.87E+10,3.49E+10,2.24E+10,5.99E+10,0.06288011,0.001856898,0.2724037,2.571873,2698.301,4824.587,1.788073,20.58968,4.204269,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.7652,62.41726,110.9713,4.99E+10,1.97E+10,3.59E+10,2.28E+10,6.21E+10,0.0584058,0.005627444,0.2685064,2.604148,2746.997,4883.363,1.777853,20.78303,4.18645,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5182.9176,62.00131,109.6118,5.13E+10,2.03E+10,3.63E+10,2.28E+10,6.33E+10,0.07780193,0.009565741,0.2647566,2.620997,2780.747,4916.141,1.767911,20.97638,4.177882,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.07,61.74395,109.3466,5.14E+10,2.03E+10,3.66E+10,2.31E+10,6.37E+10,0.1199478,0.01173711,0.2659539,2.613295,2787.475,4936.536,1.77097,20.79899,4.182988,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.2224,61.94441,109.7545,5.00E+10,1.98E+10,3.57E+10,2.25E+10,6.20E+10,0.1634881,0.008678315,0.2662739,2.561671,2777.208,4920.648,1.771814,20.62161,4.197096,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.3748,62.49657,110.8661,4.74E+10,1.87E+10,3.39E+10,2.15E+10,5.89E+10,0.1942597,0.003546582,0.2670805,2.475017,2749.471,4877.464,1.773979,20.44423,4.212835,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.5272,63.45178,112.4772,4.45E+10,1.76E+10,3.18E+10,2.01E+10,5.53E+10,0.2020438,9.43E-05,0.2665293,2.393704,2710.318,4804.536,1.772714,20.09298,4.229476,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.6796,64.67456,114.8983,4.21E+10,1.66E+10,3.03E+10,1.92E+10,5.24E+10,0.1856974,7.35E-06,0.2678908,2.359004,2653.811,4713.401,1.77641,19.74174,4.245638,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.832,65.91953,117.9435,4.03E+10,1.58E+10,2.96E+10,1.90E+10,5.07E+10,0.1737444,0.00176611,0.2728728,2.370779,2584.729,4625.017,1.789294,19.3905,4.259916,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5183.9844,67.47243,120.4419,3.90E+10,1.53E+10,2.84E+10,1.82E+10,4.89E+10,0.1683716,0.00519288,0.2712458,2.3961,2531.289,4518.471,1.785098,19.10244,4.273329,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.1368,68.51569,123.216,3.77E+10,1.48E+10,2.80E+10,1.82E+10,4.77E+10,0.1672289,0.006731041,0.2759219,2.411331,2474.244,4448.632,1.798319,18.81438,4.283136,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5184.2892,68.69318,125.4249,3.67E+10,1.43E+10,2.85E+10,1.90E+10,4.75E+10,0.1674164,0.004538026,0.2857097,2.415097,2430.251,4437.131,1.825859,18.52632,4.279325,
