wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5233.7744,55.63027,98.83929,6.25E+10,2.46E+10,4.49E+10,2.85E+10,7.78E+10,0.09025994,0.0273782,0.2680801,2.591579,3083.857,5479.098,1.776767,24.66806,5.127254
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5233.9268,56.12478,98.12775,6.29E+10,2.50E+10,4.31E+10,2.64E+10,7.64E+10,0.09861021,0.02166968,0.2568478,2.591786,3106.163,5430.926,1.748455,23.34364,4.954229
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.0792,56.58904,98.49065,6.30E+10,2.51E+10,4.26E+10,2.58E+10,7.61E+10,0.1061534,0.02065368,0.2535042,2.622059,3094.898,5386.206,1.740444,24.72916,4.534516
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.2316,56.65474,99.47257,6.23E+10,2.47E+10,4.32E+10,2.68E+10,7.62E+10,0.1042315,0.01902141,0.2599283,2.632158,3064.164,5379.956,1.755768,27.29524,4.322178
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.384,56.44907,99.27357,6.20E+10,2.46E+10,4.33E+10,2.69E+10,7.61E+10,0.09456383,0.01535683,0.2610762,2.609729,3070.308,5399.684,1.758671,24.91245,4.471251
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.5364,56.14556,99.49153,6.17E+10,2.44E+10,4.40E+10,2.78E+10,7.66E+10,0.0825632,0.008685406,0.2663405,2.597595,3063.658,5428.761,1.772018,27.69237,4.847292
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.6888,56.51461,100.7147,6.07E+10,2.39E+10,4.40E+10,2.81E+10,7.59E+10,0.07471389,0.00235422,0.2702001,2.607937,3026.525,5393.479,1.782086,24.69861,5.020259
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.8412,57.28907,102.5362,5.89E+10,2.31E+10,4.32E+10,2.78E+10,7.41E+10,0.0728279,0.00264247,0.2730416,2.616692,2972.978,5320.704,1.789756,26.28714,4.982821
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5234.9936,58.19792,104.4036,5.66E+10,2.22E+10,4.19E+10,2.71E+10,7.15E+10,0.07512887,0.006501533,0.2745934,2.606698,2919.488,5237.568,1.79398,23.53776,4.839887
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.146,58.37157,105.0234,5.57E+10,2.18E+10,4.15E+10,2.70E+10,7.06E+10,0.08010823,0.009807603,0.2764185,2.588586,2902.21,5222.155,1.799382,25.24848,4.747892
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.2984,57.80914,105.1175,5.54E+10,2.16E+10,4.26E+10,2.82E+10,7.14E+10,0.08556584,0.01049965,0.2832024,2.569517,2899.613,5272.595,1.818378,27.04036,4.671626
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.4508,58.21231,105.183,5.49E+10,2.15E+10,4.14E+10,2.71E+10,7.00E+10,0.08929334,0.008494891,0.2792308,2.554778,2897.808,5236.042,1.806896,28.53246,4.628877
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.6032,57.85364,104.6444,5.54E+10,2.17E+10,4.20E+10,2.76E+10,7.09E+10,0.09053734,0.005860687,0.2799015,2.551451,2912.919,5269.417,1.808904,32.50377,4.665444
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.7556,56.7127,102.5684,5.79E+10,2.26E+10,4.38E+10,2.87E+10,7.40E+10,0.08982314,0.004894562,0.2796566,2.562155,2972.113,5374.482,1.808523,31.55677,4.795481
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5235.908,56.55548,101.0738,5.96E+10,2.34E+10,4.36E+10,2.80E+10,7.49E+10,0.08821882,0.005025726,0.2720908,2.577956,3015.638,5389.398,1.787161,26.65372,4.906299
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.0604,56.58205,101.6658,5.92E+10,2.32E+10,4.40E+10,2.85E+10,7.50E+10,0.08818821,0.006091477,0.2756143,2.582954,2998.09,5386.868,1.796784,20.11632,4.878794
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.2128,57.13013,102.755,5.78E+10,2.26E+10,4.31E+10,2.80E+10,7.33E+10,0.09149504,0.007429764,0.2762952,2.573467,2966.492,5335.997,1.798698,17.88628,4.747741
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.3652,58.29672,104.4711,5.55E+10,2.18E+10,4.09E+10,2.64E+10,6.99E+10,0.09673826,0.008226604,0.2738936,2.558581,2917.69,5228.547,1.792041,18.68054,4.703299
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.5176,58.86655,105.8966,5.38E+10,2.11E+10,4.01E+10,2.61E+10,6.82E+10,0.1018178,0.008866536,0.2763927,2.544985,2878.375,5177.908,1.798916,19.96358,4.74516
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5236.67,59.42628,106.8688,5.27E+10,2.07E+10,3.93E+10,2.55E+10,6.68E+10,0.1045395,0.008296629,0.2761842,2.540124,2852.105,5129.169,1.79837,17.58079,4.81578
