wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5132.9412,63.53866,108.7335,4.86E+10,1.96E+10,3.13E+10,1.82E+10,5.74E+10,0.1408224,0.009161753,0.2407334,2.494832,2803.22,4797.12,1.711294,13.29858,4.705225
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.0936,61.81742,107.0936,5.11E+10,2.04E+10,3.41E+10,2.05E+10,6.13E+10,0.1364174,0.00661257,0.250134,2.519769,2846.295,4931.941,1.732646,13.50594,4.603877
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.246,60.08647,102.9907,5.57E+10,2.24E+10,3.59E+10,2.10E+10,6.59E+10,0.1260659,0.00253823,0.2417058,2.557693,2960.853,5073.349,1.713843,14.2135,4.445839
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.3984,58.00053,99.48394,6.08E+10,2.45E+10,3.94E+10,2.31E+10,7.20E+10,0.1065956,0.001158106,0.2425552,2.602817,3064.344,5256.777,1.715364,14.87486,4.131201
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.5508,56.04315,98.74566,6.36E+10,2.52E+10,4.47E+10,2.79E+10,7.83E+10,0.08943486,0.002172311,0.2621652,2.644096,3086.719,5439.825,1.762348,16.28012,3.799862
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.7032,55.8035,99.22435,6.39E+10,2.52E+10,4.61E+10,2.93E+10,7.96E+10,0.0752327,0.004519746,0.2686956,2.669482,3071.851,5462.077,1.778105,17.13221,3.459474
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5133.8556,56.35162,99.52435,6.34E+10,2.51E+10,4.48E+10,2.81E+10,7.82E+10,0.06237654,0.007310376,0.2640495,2.672039,3062.569,5409.026,1.766167,16.8625,3.180398
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.008,57.99339,100.688,6.07E+10,2.42E+10,4.08E+10,2.46E+10,7.31E+10,0.04730018,0.009815197,0.2517425,2.643923,3027.32,5257.128,1.736451,15.94495,3.070181
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.1604,59.2846,102.7855,5.71E+10,2.28E+10,3.82E+10,2.29E+10,6.86E+10,0.04699186,0.0124052,0.2507119,2.594135,2965.708,5141.594,1.733729,14.60384,3.218314
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.3128,61.74549,105.2019,5.28E+10,2.13E+10,3.36E+10,1.94E+10,6.20E+10,0.06065083,0.01739809,0.2371769,2.540445,2897.61,4938.88,1.704251,13.36117,3.572174
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.4652,63.62527,107.1387,4.97E+10,2.03E+10,3.04E+10,1.69E+10,5.74E+10,0.0819765,0.02305098,0.2276053,2.501457,2845.061,4791.038,1.68395,12.13867,3.839598
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.6176,64.47784,108.9493,4.77E+10,1.94E+10,2.95E+10,1.66E+10,5.53E+10,0.1065013,0.02419584,0.2304445,2.476281,2797.795,4727.296,1.689692,11.76087,3.89933
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.77,64.35223,110.2848,4.66E+10,1.87E+10,3.01E+10,1.76E+10,5.51E+10,0.1317593,0.01243996,0.2417707,2.454072,2763.814,4736.474,1.713806,12.38488,3.861652
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5134.9224,64.10869,111.0643,4.59E+10,1.84E+10,3.06E+10,1.84E+10,5.51E+10,0.1435652,0.002740258,0.2501433,2.438714,2744.375,4754.433,1.732446,13.23969,3.885028
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.0748,63.93065,110.7384,4.62E+10,1.85E+10,3.08E+10,1.85E+10,5.55E+10,0.1492937,8.63E-05,0.250043,2.441259,2752.455,4767.674,1.732162,14.14803,4.086609
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.2272,63.33944,110.4144,4.70E+10,1.87E+10,3.19E+10,1.95E+10,5.69E+10,0.1490899,0.001182249,0.2547367,2.45755,2760.512,4812.306,1.74326,15.70689,4.361121
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.3796,63.18028,112.7044,4.60E+10,1.81E+10,3.34E+10,2.14E+10,5.76E+10,0.1431025,0.004856257,0.2706015,2.474211,2704.887,4824.292,1.783842,16.63724,4.645574
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.532,61.4752,111.0024,4.79E+10,1.87E+10,3.61E+10,2.36E+10,6.11E+10,0.1317897,0.01243764,0.2788151,2.484376,2746.488,4959.621,1.805732,16.45394,4.800233
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5135.6844,60.48043,107.0743,5.13E+10,2.03E+10,3.65E+10,2.30E+10,6.35E+10,0.1135435,0.01167879,0.2653961,2.500967,2847.427,5039.699,1.770317,15.11615,4.826476
