wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268,52.903,99.9296,3.82E+10,1.46E+10,3.27E+10,2.29E+10,5.22E+10,0.000834795,0.007220148,0.3052335,1.571357,3050.147,5762.061,1.889109,23.42964,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.1524,56.12557,99.9296,3.70E+10,1.46E+10,2.68E+10,1.71E+10,4.62E+10,0.000532252,0.00563248,0.2693863,1.56638,3050.147,5431.982,1.780892,30.54489,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.3048,57.2549,99.9296,3.66E+10,1.46E+10,2.50E+10,1.53E+10,4.45E+10,0.000515517,0.000397092,0.2556288,1.568521,3050.147,5323.662,1.745379,33.97384,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.4572,56.57538,99.9296,3.70E+10,1.46E+10,2.61E+10,1.64E+10,4.56E+10,0.0006822,1.19E-05,0.2641191,1.570958,3050.147,5387.582,1.766335,37.54663,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.6096,54.16549,99.9296,3.79E+10,1.47E+10,3.04E+10,2.06E+10,5.00E+10,0.000204303,0.002238014,0.2918611,1.578188,3050.147,5627.994,1.845155,38.21786,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.762,52.5158,99.9296,3.86E+10,1.47E+10,3.37E+10,2.39E+10,5.33E+10,0.000267086,0.002755466,0.309179,1.583367,3050.147,5804.312,1.902961,36.67052,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5268.9144,52.34092,99.9296,3.87E+10,1.48E+10,3.41E+10,2.43E+10,5.38E+10,0.00037853,0.002251483,0.3109688,1.586118,3050.147,5823.361,1.909207,27.90429,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.0668,52.34258,99.9296,3.87E+10,1.48E+10,3.42E+10,2.43E+10,5.39E+10,0.00043974,0.001995168,0.3109524,1.588469,3050.147,5823.174,1.909145,21.98229,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.2192,53.35733,99.9296,3.85E+10,1.48E+10,3.22E+10,2.23E+10,5.19E+10,0.000935271,0.003461251,0.3005803,1.590038,3050.147,5712.59,1.87289,17.67472,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.3716,54.48267,99.9296,3.81E+10,1.48E+10,3.00E+10,2.02E+10,4.97E+10,0.003989696,0.003214229,0.2884826,1.589097,3050.147,5594.599,1.834206,17.36078,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.524,55.11828,99.9296,3.79E+10,1.48E+10,2.89E+10,1.90E+10,4.86E+10,0.002323139,0.004271429,0.2813645,1.58827,3050.147,5529.969,1.813017,15.90262,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.6764,55.4063,99.9296,3.78E+10,1.48E+10,2.84E+10,1.85E+10,4.81E+10,0.00355299,0.004817976,0.278062,1.588887,3050.147,5501.188,1.803581,15.68094,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.8288,55.1975,99.9296,3.81E+10,1.49E+10,2.89E+10,1.90E+10,4.88E+10,0.03492088,0.003569723,0.2804649,1.598814,3050.147,5521.997,1.810403,13.50512,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5269.9812,55.10479,100.0441,3.98E+10,1.55E+10,3.04E+10,2.01E+10,5.11E+10,0.1431852,0.000252749,0.2822417,1.671278,3046.656,5531.281,1.815525,14.48707,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.1336,55.34738,99.96379,4.38E+10,1.71E+10,3.30E+10,2.16E+10,5.58E+10,0.3617704,0.001779705,0.2789599,1.841259,3049.104,5507.044,1.806119,13.9695,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.286,55.47294,93.60012,5.40E+10,2.20E+10,3.32E+10,1.85E+10,6.25E+10,0.5750418,0.007510104,0.2286032,2.07157,3257.491,5494.573,1.687329,14.901,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.4384,55.46547,93.20593,6.13E+10,2.50E+10,3.73E+10,2.06E+10,7.06E+10,0.7341515,0.01162872,0.2258537,2.338925,3270.18,5495.311,1.680432,13.17098,-9999
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.5908,55.62834,92.58752,6.67E+10,2.74E+10,3.93E+10,2.11E+10,7.58E+10,0.8154234,0.0108534,0.2175333,2.526241,3292.031,5479.226,1.664399,13.76132,5.486639
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.7432,55.77818,91.96363,6.96E+10,2.88E+10,3.99E+10,2.07E+10,7.82E+10,0.8159852,0.005040654,0.2090088,2.619924,3314.364,5464.505,1.648741,12.98409,4.974854
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5270.8956,55.80807,91.45635,7.06E+10,2.93E+10,3.97E+10,2.01E+10,7.88E+10,0.8093631,0.001370167,0.2033494,2.640216,3332.744,5461.585,1.63877,13.78301,4.992818
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.048,59.95907,89.70043,6.72E+10,3.07E+10,2.79E+10,7.38E+09,6.88E+10,0.8073865,0.000317673,-9999,2.660224,3398.07,5085.622,-9999,11.84365,5.383002
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.2004,75.38443,90.32824,1.80E+10,3.05E+10,3.64E+09,-1.67E+10,4.43E+10,0.8029149,0.000882901,-9999,2.675993,3374.379,4058.86,-9999,12.14966,5.810007
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.3528,87.30724,113.5788,2.88E+10,1.95E+10,6.74E+09,-6.29E+09,3.28E+10,0.7584556,0.001512375,-9999,2.68044,2694.316,3495.811,-9999,12.15514,6.055481
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.5052,85.31655,135.0091,3.14E+10,1.37E+10,1.59E+10,6.73E+09,3.42E+10,0.6038812,0.000114147,-9999,2.677532,2261.922,3572.875,-9999,11.71606,6.231086
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.6576,75.31704,136.153,3.43E+10,1.34E+10,2.61E+10,1.71E+10,4.40E+10,0.4460715,3.22E-06,-9999,2.675532,2238.665,4051.574,-9999,12.34122,6.211648
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.81,59.79448,120.3355,4.61E+10,1.72E+10,4.73E+10,3.58E+10,7.03E+10,0.261291,3.99E-05,0.3360684,2.675511,2535.887,5116.873,2.016082,13.7362,5.889741
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5271.9624,56.94946,95.29453,6.69E+10,2.76E+10,3.96E+10,2.12E+10,7.64E+10,0.1455168,0.000909679,0.2164767,2.666067,3210.891,5352.492,1.672496,14.48296,5.176682
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5272.1148,55.99397,91.17485,7.10E+10,2.97E+10,3.91E+10,1.93E+10,7.87E+10,0.1126926,0.002399193,0.1971829,2.654224,3343.191,5443.531,1.628278,14.99389,4.823716
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5272.2672,54.8926,91.48493,7.18E+10,2.95E+10,4.26E+10,2.29E+10,8.18E+10,0.0773322,0.003145342,0.2186462,2.653909,3331.705,5552.81,1.666674,12.50338,4.807576
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5272.4196,53.56515,94.70515,6.99E+10,2.76E+10,4.95E+10,3.11E+10,8.64E+10,0.06061083,0.007468074,0.2644286,2.666555,3218.694,5690.496,1.76821,12.50551,5.378148
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5272.572,53.32888,94.97297,7.01E+10,2.76E+10,5.07E+10,3.23E+10,8.75E+10,0.05569842,0.01482666,0.2697518,2.679717,3209.334,5715.48,1.780893,11.53496,5.708416
3-BRSA-1023-SPS,LQC_ElasticParameters,Barra Velha,5272.7244,54.19216,91.36725,7.33E+10,2.99E+10,4.50E+10,2.51E+10,8.49E+10,0.05536343,0.0176149,0.2282235,2.682075,3336.375,5624.545,1.686105,18.06053,5.783743
