wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805,59.70134,106.8854,5.91E+10,2.33E+10,4.32E+10,2.77E+10,7.42E+10,0.001456261,0.005999373,0.2714601,2.847833,2855.851,5105.706,1.789936,51.4029,-9999
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.1524,61.21442,108.8058,5.51E+10,2.17E+10,3.97E+10,2.52E+10,6.86E+10,0.004367449,0.005129471,0.2684083,2.765884,2801.328,4979.578,1.777559,54.32677,-9999
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.3048,63.66635,109.6383,5.12E+10,2.06E+10,3.36E+10,1.99E+10,6.10E+10,0.002089808,0.004069338,0.2455051,2.659001,2780.07,4788.372,1.72234,49.55579,4.87871
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.4572,65.58033,110.6413,4.80E+10,1.95E+10,2.95E+10,1.65E+10,5.55E+10,0.000605209,0.001792375,0.2291606,2.570157,2754.875,4648.142,1.68721,42.536,4.774964
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.6096,68.39549,114.7082,4.34E+10,1.77E+10,2.62E+10,1.44E+10,4.99E+10,0.003337481,0.000198177,0.2241915,2.508841,2657.653,4457.403,1.677164,33.59218,4.639115
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.762,69.02538,118.1452,4.05E+10,1.63E+10,2.60E+10,1.52E+10,4.78E+10,0.009556098,0.000780217,0.2407447,2.452025,2580.104,4415.776,1.711601,25.16328,4.540737
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4805.9144,70.66275,121.4247,3.74E+10,1.50E+10,2.43E+10,1.43E+10,4.43E+10,0.01455308,0.003940848,0.2439541,2.382158,2510.406,4313.78,1.718365,20.13413,4.519042
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4806.0668,72.13675,124.3869,3.48E+10,1.40E+10,2.29E+10,1.36E+10,4.15E+10,0.02731897,0.00694115,0.2466056,2.324697,2450.573,4225.495,1.724306,21.76788,4.549812
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4806.2192,71.84694,124.6263,3.47E+10,1.39E+10,2.32E+10,1.40E+10,4.17E+10,0.05148195,0.004535479,0.2510991,2.315485,2445.712,4242.378,1.734618,22.44789,4.579702
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4806.3716,71.60847,125.5272,3.48E+10,1.38E+10,2.41E+10,1.48E+10,4.25E+10,0.07306707,0.01746436,0.2587683,2.344981,2428.179,4256.482,1.752972,27.45717,4.639883
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4806.524,71.53738,123.8815,3.61E+10,1.45E+10,2.41E+10,1.44E+10,4.33E+10,0.08387311,0.05270819,0.2497979,2.387492,2460.489,4260.71,1.731701,29.2466,4.73132
3-BRSA-883-RJS,LQC_ParamElast,Barra Velha,4806.6764,70.34154,125.0531,3.67E+10,1.45E+10,2.65E+10,1.68E+10,4.58E+10,0.08511981,0.09700343,0.2684257,2.437636,2437.413,4333.324,1.777922,38.6471,4.778058
