wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5395.5052,55.79533,94.36505,6.79E+10,2.76E+10,4.22E+10,2.38E+10,7.89E+10,0.05065769,0.004369329,0.2312329,2.642673,3230.225,5463.942,1.69142,38.84388,4.404607,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5395.6576,57.56831,96.02946,6.40E+10,2.63E+10,3.81E+10,2.06E+10,7.31E+10,0.05639289,0.006166915,0.219484,2.604868,3174.283,5295.985,1.668294,20.02654,4.589347,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5395.81,58.84906,97.59621,6.13E+10,2.52E+10,3.58E+10,1.89E+10,6.94E+10,0.0621379,0.01102621,0.2143396,2.58822,3123.237,5179.604,1.658412,10.43544,4.642253,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5395.9624,59.05793,98.51276,6.06E+10,2.49E+10,3.60E+10,1.94E+10,6.92E+10,0.06595365,0.01360303,0.2194449,2.596421,3094.038,5161.056,1.668086,8.163403,4.568541,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.1148,57.63756,97.91592,6.26E+10,2.53E+10,3.94E+10,2.25E+10,7.32E+10,0.06817822,0.01024154,0.2347668,2.614876,3113.036,5290.226,1.699229,8.078094,4.507643,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.2672,55.28638,95.90404,6.66E+10,2.66E+10,4.46E+10,2.69E+10,8.01E+10,0.06826383,0.003667622,0.251128,2.631267,3178.68,5515.654,1.735009,8.460522,4.568019,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.4196,54.2306,94.55252,6.89E+10,2.74E+10,4.68E+10,2.85E+10,8.34E+10,0.06635036,0.000821813,0.2548771,2.641241,3223.632,5620.445,1.743525,9.821668,4.709284,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.572,54.31602,93.76269,6.97E+10,2.79E+10,4.60E+10,2.74E+10,8.32E+10,0.06519388,0.001165401,0.2473832,2.643097,3250.846,5611.621,1.726265,11.10057,4.936137,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.7244,54.35997,93.80423,6.96E+10,2.79E+10,4.59E+10,2.73E+10,8.31E+10,0.06400037,0.003104191,0.2471446,2.642969,3249.377,5607.069,1.725617,11.51047,5.111478,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5396.8768,54.33128,94.35721,6.90E+10,2.76E+10,4.64E+10,2.80E+10,8.31E+10,0.05834307,0.008550301,0.2519929,2.641828,3230.29,5610.028,1.736701,11.27948,5.252557,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.0292,53.71795,94.29121,6.98E+10,2.77E+10,4.84E+10,3.00E+10,8.54E+10,0.05363036,0.01685951,0.25969,2.650682,3232.552,5674.622,1.755434,11.77635,5.643828,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.1816,52.94032,94.21549,7.09E+10,2.79E+10,5.13E+10,3.26E+10,8.85E+10,0.05275171,0.01714954,0.269245,2.669725,3235.139,5757.588,1.779713,14.35065,6.250601,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.334,52.73432,94.11133,7.15E+10,2.81E+10,5.21E+10,3.33E+10,8.96E+10,0.04916197,0.01571245,0.2711512,2.680863,3238.725,5779.919,1.784634,19.8772,6.953404,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.4864,53.16714,94.066,7.11E+10,2.81E+10,5.05E+10,3.18E+10,8.80E+10,0.04413593,0.01539223,0.2652547,2.67725,3240.28,5733.111,1.769318,27.19696,7.091305,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.6388,55.18111,93.78162,6.96E+10,2.82E+10,4.40E+10,2.52E+10,8.16E+10,0.04118894,0.01571016,0.2340366,2.66817,3250.136,5527.598,1.700889,36.10347,6.550747,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.7912,56.8232,92.92445,6.89E+10,2.87E+10,3.85E+10,1.93E+10,7.67E+10,0.04507843,0.01658958,0.2010954,2.664886,3280.189,5364.184,1.635433,43.40569,5.563409,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5397.9436,56.87752,93.51748,6.80E+10,2.82E+10,3.86E+10,1.98E+10,7.62E+10,0.05218329,0.01420359,0.206076,2.652463,3259.591,5358.947,1.644263,46.32085,4.735943,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.096,56.98315,96.20802,6.48E+10,2.64E+10,4.00E+10,2.24E+10,7.51E+10,0.06057736,0.006009784,0.2293924,2.62562,3169.078,5349.04,1.688268,40.49061,4.466582,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.2484,57.13328,97.9646,6.24E+10,2.51E+10,4.04E+10,2.36E+10,7.39E+10,0.07063941,0.001280237,0.2422539,2.595741,3111.356,5334.897,1.714673,30.34605,4.600756,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.4008,57.42515,99.09886,6.09E+10,2.44E+10,4.01E+10,2.39E+10,7.27E+10,0.08362208,0.000999824,0.2472021,2.579122,3075.897,5307.907,1.725682,20.09751,4.751471,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.5532,58.07348,100.6393,5.89E+10,2.36E+10,3.93E+10,2.36E+10,7.08E+10,0.09560815,0.000337208,0.2503836,2.568495,3028.811,5248.712,1.732949,14.34526,4.777006,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.7056,59.30267,101.6345,5.72E+10,2.30E+10,3.70E+10,2.16E+10,6.77E+10,0.09940275,1.68E-05,0.2417859,2.560793,2999.008,5140.667,1.71407,12.67577,4.761,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5398.858,60.44685,101.9833,5.63E+10,2.29E+10,3.47E+10,1.94E+10,6.52E+10,0.09487675,0.002946318,0.229178,2.563149,2988.727,5042.665,1.687221,11.2563,4.825032,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.0104,60.46796,101.4222,5.71E+10,2.33E+10,3.45E+10,1.90E+10,6.56E+10,0.08732217,0.007202033,0.2242541,2.581855,3005.346,5040.802,1.677285,10.60399,4.886006,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.1628,59.03191,100.1039,5.98E+10,2.43E+10,3.75E+10,2.13E+10,6.98E+10,0.07910414,0.01082717,0.2333418,2.615658,3045,5164.909,1.696067,9.002449,4.896504,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.3152,56.51237,99.23399,6.29E+10,2.50E+10,4.39E+10,2.72E+10,7.72E+10,0.07009808,0.01386437,0.259501,2.647172,3071.542,5396.837,1.756961,8.328913,4.893503,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.4676,54.34205,98.6294,6.55E+10,2.55E+10,5.01E+10,3.31E+10,8.42E+10,0.06140794,0.0141073,0.2819641,2.673129,3090.399,5610.221,1.815293,9.02264,5.002768,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.62,53.27219,95.94529,6.95E+10,2.72E+10,5.19E+10,3.37E+10,8.82E+10,0.05409466,0.01571133,0.276739,2.692616,3178.228,5721.75,1.800879,9.284448,5.201277,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.7724,52.85538,92.54922,7.38E+10,2.93E+10,5.08E+10,3.12E+10,8.99E+10,0.04940957,0.01941275,0.2576709,2.703854,3294.15,5766.714,1.750934,10.89767,5.389255,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5399.9248,52.73353,91.40639,7.54E+10,3.01E+10,5.03E+10,3.03E+10,9.05E+10,0.04740931,0.0212074,0.2505664,2.709453,3334.56,5780.004,1.733364,11.44772,5.429549,,
